run,step,task3_accuracy_pct,task0_accuracy_pct,task0_absolute_drift_pp,passes_screen,weighted_noise_before,preserve_before,total_loss_before
E08,0,26.0,44.6,0.0,False,,,
E08,1,16.0,23.4,21.2,False,38765.68,0.0,
E08,2,13.0,14.6,30.0,False,36631.19,711.19,
E08,3,12.6,13.6,31.0,False,34988.89,1559.62,
E08,4,12.8,13.6,31.0,False,33794.32,2083.34,
E08,5,13.8,14.2,30.4,False,32940.63,2225.69,
E08,6,14.4,12.4,32.2,False,32308.67,2088.67,
E08,7,14.4,11.2,33.4,False,31802.68,1809.4,
E08,8,11.2,10.8,33.8,False,31353.69,1499.43,
E08,9,10.2,10.2,34.4,False,30910.52,1225.5,
E08,10,10.0,10.0,34.6,False,30435.68,1015.46,
E09,0,26.0,44.6,0.0,False,,,
E09,1,23.0,45.0,0.4,False,38765.68,0.0,
E09,2,21.2,46.6,2.0,False,38546.75,7.25,
E09,3,18.8,44.8,0.2,False,38331.81,27.22,
E09,4,17.4,43.4,1.2,False,38116.39,57.94,
E09,5,16.0,41.8,2.8,False,37906.2,97.46,
E09,6,16.2,39.2,5.4,False,37700.46,144.03,
E09,7,16.6,37.0,7.6,False,37498.27,196.03,
E09,8,16.8,35.2,9.4,False,37302.28,252.03,
E09,9,16.4,32.6,12.0,False,37112.92,310.69,
E09,10,15.8,30.0,14.6,False,36926.21,370.77,
E10,0,26.0,44.6,0.0,False,,,
E10,1,23.0,45.0,0.4,False,,,
E10,2,21.6,46.6,2.0,False,,,
E10,3,19.4,46.0,1.4,False,,,
E10,4,18.4,44.8,0.2,False,,,
E10,5,17.4,44.8,0.2,False,,,
E10,6,16.6,44.6,0.0,False,,,
E10,7,16.0,45.0,0.4,False,,,
E10,8,16.2,44.6,0.0,False,,,
E10,9,16.0,44.8,0.2,False,,,
E10,10,16.0,44.8,0.2,False,,,
E11,0,26.0,44.6,0.0,False,,,
E11,1,23.0,45.0,0.4,False,,,
E11,2,21.6,46.6,2.0,False,,,
E11,3,19.4,46.0,1.4,False,,,
E11,4,18.4,44.8,0.2,False,,,
E11,5,17.4,44.8,0.2,False,,,
E11,6,16.6,44.6,0.0,False,,,
E11,7,16.0,45.0,0.4,False,,,
E11,8,16.2,44.6,0.0,False,,,
E11,9,16.0,44.8,0.2,False,,,
E11,10,16.0,44.8,0.2,False,,,
E11,11,16.4,44.6,0.0,False,,,
E11,12,16.8,44.2,0.4,False,,,
E11,13,16.4,43.6,1.0,False,,,
E11,14,16.4,43.4,1.2,False,,,
E11,15,16.2,43.2,1.4,False,,,
E11,16,15.8,42.6,2.0,False,,,
E11,17,15.0,42.0,2.6,False,,,
E11,18,15.0,41.4,3.2,False,,,
E11,19,14.2,41.6,3.0,False,,,
E11,20,13.4,40.6,4.0,False,,,
E11,21,13.6,40.2,4.4,False,,,
E11,22,13.4,39.8,4.8,False,,,
E11,23,12.8,39.4,5.2,False,,,
E11,24,12.6,38.6,6.0,False,,,
